"~id","~start_node_id","~end_node_id","~relationship_type","score","year","title"
"213","72","331","DIRECTED_BY","7.7","1977.0","Close Encounters of the Third Kind "
"214","73","396","DIRECTED_BY","6.4","1987.0","Beverly Hills Cop II "
"215","1","397","DIRECTED_BY","5.7","1978.0","Jaws 2 "
"216","74","398","DIRECTED_BY","5.9","1979.0","The Black Hole "
"217","70","399","DIRECTED_BY","6.7","1969.0","Paint Your Wagon "
"218","75","400","DIRECTED_BY","8.5","1960.0","Psycho "
"219","76","401","DIRECTED_BY","5.4","1981.0","Under the Rainbow "
"220","77","327","DIRECTED_BY","7.0","1985.0","Ladyhawke "
"221","17","402","DIRECTED_BY","6.6","1965.0","The Greatest Story Ever Told "
"222","22","403","DIRECTED_BY","6.0","1989.0","We're No Angels "
"223","78","323","DIRECTED_BY","7.0","1969.0","Sweet Charity "
"224","79","404","DIRECTED_BY","4.5","1980.0","Can't Stop the Music "
"225","56","405","DIRECTED_BY","6.8","1989.0","Sea of Love "
"226","80","329","DIRECTED_BY","8.4","1980.0","The Shining "
"227","33","406","DIRECTED_BY","7.0","1984.0","The Bounty "
"228","7","407","DIRECTED_BY","6.7","1964.0","The Fall of the Roman Empire "
"229","81","408","DIRECTED_BY","7.3","1988.0","Big "
"230","82","372","DIRECTED_BY","7.8","1987.0","Predator "
"231","83","409","DIRECTED_BY","8.3","1984.0","Amadeus "
"232","84","349","DIRECTED_BY","7.9","1978.0","Halloween "
"233","85","410","DIRECTED_BY","7.2","1970.0","Catch-22 "
"234","76","382","DIRECTED_BY","5.8","1984.0","Conan the Destroyer "
"235","86","379","DIRECTED_BY","6.8","1985.0","Young Sherlock Holmes "
"236","87","411","DIRECTED_BY","5.0","1981.0","The Legend of the Lone Ranger "
"237","88","380","DIRECTED_BY","7.4","1981.0","Blow Out "
"238","89","412","DIRECTED_BY","5.5","1989.0","Troop Beverly Hills "
"239","90","413","DIRECTED_BY","5.9","1986.0","9½ Weeks "
"240","91","414","DIRECTED_BY","6.7","1981.0","Dragonslayer "
"361","415","699","DIRECTED_BY","3.5","1982.0","Megaforce "
"362","416","700","DIRECTED_BY","5.9","1986.0","The Wraith "
"363","417","324","DIRECTED_BY","7.2","1985.0","Day of the Dead "
"364","418","382","DIRECTED_BY","5.0","1985.0","Red Sonja "
"365","419","701","DIRECTED_BY","7.9","1964.0","My Fair Lady "
"366","420","702","DIRECTED_BY","6.8","1963.0","55 Days at Peking "
"367","421","703","DIRECTED_BY","3.6","1987.0","Superman IV: The Quest for Peace "
"368","61","704","DIRECTED_BY","3.0","1986.0","Shanghai Surprise "
"369","422","705","DIRECTED_BY","6.4","1981.0","Roar "
"370","423","706","DIRECTED_BY","5.2","1977.0","Damnation Alley "
"371","424","707","DIRECTED_BY","7.4","1987.0","Wall Street "
"372","425","708","DIRECTED_BY","8.0","1989.0","Dead Poets Society "
"373","426","709","DIRECTED_BY","7.6","1989.0","When Harry Met Sally... "
"374","427","389","DIRECTED_BY","7.8","1982.0","The Verdict "
"375","428","710","DIRECTED_BY","7.6","1987.0","Radio Days "
"376","429","711","DIRECTED_BY","5.2","1988.0","My Stepmother Is an Alien "
"377","17","712","DIRECTED_BY","4.9","1979.0","Meteor "
"378","430","713","DIRECTED_BY","7.2","1986.0","Highlander "
"379","431","365","DIRECTED_BY","7.3","1984.0","Beverly Hills Cop "
"380","432","387","DIRECTED_BY","5.9","1987.0","3 Men and a Baby "
"381","36","361","DIRECTED_BY","7.4","1982.0","Tootsie "
"382","54","396","DIRECTED_BY","6.9","1986.0","Top Gun "
"383","433","345","DIRECTED_BY","6.0","1988.0","Twins "
"384","434","331","DIRECTED_BY","7.8","1985.0","The Color Purple "
"385","435","714","DIRECTED_BY","6.1","1980.0","Private Benjamin "
"386","436","715","DIRECTED_BY","7.5","1980.0","Coal Miner's Daughter "
"387","437","716","DIRECTED_BY","7.4","1983.0","National Lampoon's Vacation "
"388","438","351","DIRECTED_BY","7.5","1988.0","Beetlejuice "
"389","22","340","DIRECTED_BY","8.2","1978.0","The Deer Hunter "
"390","439","373","DIRECTED_BY","8.4","1962.0","Lawrence of Arabia "
"391","440","709","DIRECTED_BY","8.1","1987.0","The Princess Bride "
"392","441","717","DIRECTED_BY","6.0","1984.0","Firestarter "
"393","442","710","DIRECTED_BY","7.1","1971.0","Bananas "
"394","22","718","DIRECTED_BY","8.0","1985.0","Brazil "
"395","443","719","DIRECTED_BY","5.3","1986.0","The Clan of the Cave Bear "
"396","444","720","DIRECTED_BY","8.3","1927.0","Metropolis "
"397","445","413","DIRECTED_BY","6.9","1987.0","Fatal Attraction "
"398","446","721","DIRECTED_BY","5.5","1988.0","Crocodile Dundee II "
"399","54","707","DIRECTED_BY","7.2","1989.0","Born on the Fourth of July "
"400","447","362","DIRECTED_BY","7.1","1977.0","The Spy Who Loved Me "
"401","448","722","DIRECTED_BY","3.7","1977.0","Exorcist II: The Heretic "
"402","37","723","DIRECTED_BY","6.5","1978.0","Caravans "
"403","425","379","DIRECTED_BY","7.3","1987.0","Good Morning, Vietnam "
"404","22","332","DIRECTED_BY","9.0","1974.0","The Godfather: Part II "
"405","449","724","DIRECTED_BY","5.7","1988.0","A Nightmare on Elm Street 4: The Dream Master "
"406","450","725","DIRECTED_BY","6.8","1988.0","Young Guns "
"407","451","726","DIRECTED_BY","7.4","1981.0","Quest for Fire "
"408","452","727","DIRECTED_BY","6.1","1982.0","Cat People "
"409","453","728","DIRECTED_BY","7.8","1937.0","The Prisoner of Zenda "
"410","66","729","DIRECTED_BY","7.3","1988.0","The Land Before Time "
"411","454","393","DIRECTED_BY","8.0","1973.0","The Exorcist "
